Vehicle ID,Charger ID,Date,Charging Time,Average Power,Max Power,Total Energy Delivered,SOC Charged
EV016-EV021,CH001,2019-06-23,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-06-22,0.1833333333333333,9.6,9.6,1.76,9.521001512535811
EV016-EV021,CH001,2019-06-22,0.2,9.6,9.6,1.92,9.575369614048636
EV016-EV021,CH001,2019-06-22,0.3833333333333333,9.6,9.6,3.68,10.173418730689711
EV016-EV021,CH001,2019-06-21,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-06-21,0.1666666666666666,9.6,9.6,1.6,9.466633411022986
EV016-EV021,CH001,2019-06-21,0.0833333333333333,9.6,9.6,0.8,9.19479290345886
EV016-EV021,CH001,2019-06-20,3.75,9.6,9.6,36.0,21.155775236280384
EV016-EV021,CH001,2019-06-20,1.4833333333333334,9.6,9.6,14.24,13.761713430536169
EV016-EV021,CH001,2019-06-19,0.5333333333333333,9.6,9.6,5.12,10.662731644305138
EV016-EV021,CH001,2019-06-19,2.3666666666666667,9.6,9.6,22.72,16.643222810715898
EV016-EV021,CH001,2019-06-19,1.5333333333333334,9.6,9.6,14.82,13.945880308740932
EV016-EV021,CH001,2019-06-19,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-06-19,0.45,9.6,9.6,4.32,10.390891136741011
EV016-EV021,CH001,2019-06-19,0.0666666666666666,9.6,9.6,0.64,9.140424801946034
EV016-EV021,CH001,2019-06-19,0.5,9.6,9.6,4.8,10.553995441279486
EV016-EV021,CH001,2019-06-18,5.533333333333333,9.6,9.6,53.12,26.973162098152667
EV016-EV021,CH001,2019-06-18,0.3833333333333333,9.6,9.6,3.83,10.205012591189144
EV016-EV021,CH001,2019-06-18,0.7166666666666667,9.6,9.6,6.88,11.260780760946211
EV016-EV021,CH001,2019-06-18,0.2666666666666666,9.6,9.6,2.56,9.792842020099936
EV016-EV021,CH001,2019-06-18,0.2666666666666666,9.6,9.6,2.56,9.792842020099936
EV016-EV021,CH001,2019-06-18,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-06-18,0.0666666666666666,9.6,9.6,0.64,9.140424801946034
EV016-EV021,CH001,2019-06-17,0.55,9.6,9.6,5.28,10.717099745817965
EV016-EV021,CH001,2019-06-17,2.6166666666666667,9.6,9.6,25.12,17.458744333408276
EV016-EV021,CH001,2019-06-17,1.45,9.6,9.6,14.04,13.678252315910065
EV016-EV021,CH001,2019-06-17,0.0333333333333333,9.6,9.6,0.32,9.031688598920384
EV016-EV021,CH001,2019-06-17,0.25,9.6,9.6,2.4,9.738473918587111
EV016-EV021,CH001,2019-06-17,0.05,9.6,9.6,0.48,9.08605670043321
EV016-EV021,CH001,2019-06-16,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-06-16,0.2,9.6,9.6,1.92,9.575369614048636
EV016-EV021,CH001,2019-06-16,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-06-15,0.2,9.6,9.6,1.92,9.575369614048636
EV016-EV021,CH001,2019-06-15,0.1666666666666666,9.6,9.6,1.6,9.466633411022986
EV016-EV021,CH001,2019-06-15,0.5666666666666667,9.6,9.6,5.44,10.771467847330788
EV016-EV021,CH001,2019-06-14,0.2,9.6,9.6,1.92,9.575369614048636
EV016-EV021,CH001,2019-06-14,0.7833333333333333,9.6,9.6,7.52,11.478253166997517
EV016-EV021,CH001,2019-06-14,0.0333333333333333,9.6,9.6,0.32,9.031688598920384
EV016-EV021,CH001,2019-06-14,1.4,9.6,9.6,13.44,13.489872922972044
EV016-EV021,CH001,2019-06-14,0.1666666666666666,9.6,9.6,1.6,9.466633411022986
EV016-EV021,CH001,2019-06-14,0.0833333333333333,9.6,9.6,0.8,9.19479290345886
EV016-EV021,CH001,2019-06-13,4.083333333333333,9.6,9.6,39.2,22.243137266536884
EV016-EV021,CH001,2019-06-12,0.6,9.6,9.6,5.76,10.880204050356438
EV016-EV021,CH001,2019-06-12,1.55,9.6,9.6,14.88,13.979185836587469
EV016-EV021,CH001,2019-06-12,0.9333333333333332,9.6,9.6,9.07,11.990734911645855
EV016-EV021,CH001,2019-06-12,0.3666666666666666,9.6,9.6,3.52,10.119050629176886
EV016-EV021,CH001,2019-06-12,0.3666666666666666,9.6,9.6,3.52,10.119050629176886
EV016-EV021,CH001,2019-06-12,0.3333333333333333,9.6,9.6,3.2,10.010314426151236
EV016-EV021,CH001,2019-06-12,0.3833333333333333,9.6,9.6,3.68,10.173418730689711
EV016-EV021,CH001,2019-06-12,0.05,9.6,9.6,0.48,9.08605670043321
EV016-EV021,CH001,2019-06-11,0.6166666666666667,9.6,9.6,5.92,10.934572151869263
EV016-EV021,CH001,2019-06-11,2.3666666666666667,9.6,9.6,22.72,16.643222810715898
EV016-EV021,CH001,2019-06-11,1.3666666666666667,9.6,9.6,13.12,13.381136719946394
EV016-EV021,CH001,2019-06-11,0.3,9.6,9.6,2.88,9.901578223125586
EV016-EV021,CH001,2019-06-11,0.2666666666666666,9.6,9.6,2.56,9.792842020099936
EV016-EV021,CH001,2019-06-11,0.3666666666666666,9.6,9.6,3.52,10.119050629176886
EV016-EV021,CH001,2019-06-11,0.0833333333333333,9.6,9.6,0.8,9.19479290345886
EV016-EV021,CH001,2019-06-11,0.5666666666666667,9.6,9.6,5.44,10.771467847330788
EV016-EV021,CH001,2019-06-10,4.466666666666667,9.6,9.6,42.88,23.493603601331863
EV016-EV021,CH001,2019-06-10,1.15,9.6,9.6,11.04,12.674351400279663
EV016-EV021,CH001,2019-06-05,0.7666666666666667,9.6,9.6,7.36,11.42388506548469
EV016-EV021,CH001,2019-06-05,0.0166666666666666,9.6,9.6,0.16,8.97732049740756
EV016-EV021,CH001,2019-06-05,1.9333333333333331,9.6,9.6,18.56,15.229652171382446
EV016-EV021,CH001,2019-06-05,0.1166666666666666,9.6,9.6,1.12,9.30352910648451
EV016-EV021,CH001,2019-06-05,0.2666666666666666,9.6,9.6,2.56,9.792842020099936
EV016-EV021,CH001,2019-06-05,0.4333333333333333,9.6,9.6,4.16,10.336523035228186
EV016-EV021,CH001,2019-06-05,0.1833333333333333,9.6,9.6,1.76,9.521001512535811
EV016-EV021,CH001,2019-06-05,0.05,9.6,9.6,0.48,9.08605670043321
EV016-EV021,CH001,2019-06-04,0.6166666666666667,9.6,9.6,5.92,10.934572151869263
EV016-EV021,CH001,2019-06-04,0.0166666666666666,9.6,9.6,0.16,8.97732049740756
EV016-EV021,CH001,2019-06-04,0.9333333333333332,9.6,9.6,8.96,11.96756608061294
EV016-EV021,CH001,2019-06-04,0.7333333333333333,9.6,9.6,7.15,11.338317693491955
EV016-EV021,CH001,2019-06-04,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-06-04,0.05,9.6,9.6,0.48,9.08605670043321
EV016-EV021,CH001,2019-06-03,0.5,9.6,9.6,4.8,10.553995441279486
EV016-EV021,CH001,2019-06-03,0.9166666666666666,9.6,9.6,8.8,11.913197979100117
EV016-EV021,CH001,2019-06-03,0.8333333333333334,9.6,9.6,8.12,11.666632559935536
EV016-EV021,CH001,2019-05-29,0.8,9.6,9.6,7.68,11.53262126851034
EV016-EV021,CH001,2019-05-29,0.0166666666666666,9.6,9.6,0.16,8.97732049740756
EV016-EV021,CH001,2019-05-29,0.0166666666666666,9.6,9.6,0.18,8.981533012140817
EV016-EV021,CH001,2019-05-27,0.2,9.6,9.6,1.92,9.575369614048636
EV016-EV021,CH001,2019-05-24,0.1333333333333333,9.6,9.6,1.28,9.357897207997336
EV016-EV021,CH001,2019-05-23,6.283333333333333,9.6,9.6,60.32,29.4197266662298
EV016-EV021,CH001,2019-05-23,2.95,9.6,9.6,28.32,18.546106363664776
EV016-EV021,CH001,2019-05-22,4.55,9.6,9.6,43.68,23.765444108895988
EV016-EV021,CH001,2019-05-22,2.0,9.6,9.6,19.3,15.468187151100036
EV016-EV021,CH001,2019-05-22,0.0,9.6,9.6,0.05,8.933483682727879
EV016-EV021,CH001,2019-05-22,1.3833333333333333,9.6,9.6,13.28,13.43550482145922
EV016-EV021,CH001,2019-05-22,0.7833333333333333,9.6,9.6,7.52,11.478253166997517
EV016-EV021,CH001,2019-05-22,0.0,9.6,9.6,0.09,8.941908712194394
EV016-EV021,CH001,2019-05-21,6.666666666666667,9.6,9.6,64.0,30.67019300102477
EV016-EV021,CH001,2019-05-21,2.7666666666666666,9.6,9.6,26.56,17.9480572470237
EV016-EV021,CH001,2019-05-20,3.783333333333333,9.6,9.6,36.32,21.264511439306037
EV016-EV021,CH001,2019-05-20,0.5666666666666667,9.6,9.6,5.44,10.771467847330788
EV016-EV021,CH001,2019-05-20,0.0333333333333333,9.6,9.6,0.33,9.033794856287011
EV016-EV021,CH001,2019-05-20,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-05-19,0.1833333333333333,9.6,9.6,1.76,9.521001512535811
EV016-EV021,CH001,2019-05-18,0.0666666666666666,9.6,9.6,0.64,9.140424801946034
EV016-EV021,CH001,2019-05-17,0.1333333333333333,9.6,9.6,1.28,9.357897207997336
EV016-EV021,CH001,2019-05-16,3.7666666666666666,9.6,9.6,36.16,21.210143337793205
EV016-EV021,CH001,2019-05-16,2.966666666666667,9.6,9.6,28.48,18.600474465177605
EV016-EV021,CH001,2019-05-16,3.0166666666666666,9.6,9.6,28.96,18.76357876971608
EV016-EV021,CH001,2019-05-15,2.7666666666666666,9.6,9.6,26.56,17.9480572470237
EV016-EV021,CH001,2019-05-15,0.9666666666666668,9.6,9.6,9.28,12.07630228363859
EV016-EV021,CH001,2019-05-15,0.2166666666666666,9.6,9.6,2.09,9.63184397292809
EV016-EV021,CH001,2019-05-15,0.3,9.6,9.6,2.88,9.901578223125586
EV016-EV021,CH001,2019-05-15,0.4666666666666667,9.6,9.6,4.48,10.445259238253836
